 Tempo totale (Ma):   0.000000
  Elemento    Coordinata X    Coordinata Y         Hr       Cond.   Densità         Cp           alpha       Pressione  Pressione lito  Temperatura       Viscosità   Shear Heating     Ad. Heating
         1      16666.6666      37500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.68605E+09     0.46114E+11    1300.0000     0.10000E+21     0.27267E-06    -0.12219E-05
         2      50000.0000      37500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.68601E+09     0.46114E+11    1300.0000     0.10000E+21     0.26781E-06    -0.12109E-05
         3      83333.3334      37500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.68593E+09     0.46114E+11    1300.0000     0.10000E+21     0.25814E-06    -0.11889E-05
         4     116666.6666      37500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.68581E+09     0.46114E+11    1300.0000     0.10000E+21     0.24382E-06    -0.11554E-05
         5     150000.0000      37500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.68564E+09     0.46114E+11    1300.0000     0.10000E+21     0.22506E-06    -0.11101E-05
         6     183333.3334      37500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.68544E+09     0.46115E+11    1300.0000     0.10000E+21     0.20222E-06    -0.10522E-05
         7     216666.6666      37500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.68518E+09     0.46115E+11    1300.0000     0.10000E+21     0.17578E-06    -0.98096E-06
         8     250000.0000      37500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.68488E+09     0.46115E+11    1300.0000     0.10000E+21     0.14643E-06    -0.89526E-06
         9     283333.3333      37500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.68453E+09     0.46115E+11    1300.0000     0.10000E+21     0.11515E-06    -0.79371E-06
        10     316666.6666      37500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.68413E+09     0.46116E+11    1300.0000     0.10000E+21     0.83246E-07    -0.67456E-06
        11     350000.0000      37500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.68366E+09     0.46116E+11    1300.0000     0.10000E+21     0.52588E-07    -0.53548E-06
        12     383333.3333      37500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.68312E+09     0.46117E+11    1300.0000     0.10000E+21     0.25793E-07    -0.37334E-06
        13     416666.6667      37500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.68251E+09     0.46117E+11    1300.0000     0.10000E+21     0.66788E-08    -0.18350E-06
        14     450000.0000      37500.0000     0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.68180E+09     0.46118E+11    1300.0000     0.10000E+21     0.11916E-08     0.41549E-07
        15     483333.3333      37500.0000     0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.62609E+09     0.46174E+11    1300.0000     0.10000E+21     0.20314E-07     0.31818E-06
        16     516666.6666      37500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.50592E+09     0.47757E+11    1300.0000     0.10000E+23     0.49664E-05     0.53751E-06
        17     550000.0000      37500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.42350E+09     0.47839E+11    1300.0000     0.10000E+23     0.66110E-05     0.61972E-06
        18     583333.3333      37500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.39152E+09     0.47871E+11    1300.0000     0.10000E+23     0.78120E-05     0.67368E-06
        19     616666.6667      37500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.36506E+09     0.47897E+11    1300.0000     0.10000E+23     0.87267E-05     0.71215E-06
        20     650000.0000      37500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.34281E+09     0.47920E+11    1300.0000     0.10000E+23     0.94386E-05     0.74077E-06
        21     683333.3333      37500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.32396E+09     0.47939E+11    1300.0000     0.10000E+23     0.10001E-04     0.76266E-06
        22     716666.6667      37500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.30795E+09     0.47955E+11    1300.0000     0.10000E+23     0.10449E-04     0.77968E-06
        23     750000.0000      37500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.29439E+09     0.47968E+11    1300.0000     0.10000E+23     0.10808E-04     0.79304E-06
        24     783333.3333      37500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.28299E+09     0.47980E+11    1300.0000     0.10000E+23     0.11094E-04     0.80356E-06
        25     816666.6667      37500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.27354E+09     0.47989E+11    1300.0000     0.10000E+23     0.11322E-04     0.81181E-06
        26     850000.0000      37500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.26587E+09     0.47997E+11    1300.0000     0.10000E+23     0.11499E-04     0.81820E-06
        27     883333.3333      37500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.25986E+09     0.48003E+11    1300.0000     0.10000E+23     0.11634E-04     0.82302E-06
        28     916666.6667      37500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.25543E+09     0.48007E+11    1300.0000     0.10000E+23     0.11731E-04     0.82647E-06
