 Tempo totale (Ma):   0.000000
      Nodo              Coordinata X              Coordinata Y                Velocità X                Velocità Y               Temperatura
         1                   0.00000                   0.00000                   0.00000                   0.00000                1300.00000
         2               33333.33330                   0.00000                  -2.76719                   0.00000                1300.00000
         3               66666.66670                   0.00000                  -5.50981                   0.00000                1300.00000
         4              100000.00000                   0.00000                  -8.20293                   0.00000                1300.00000
         5              133333.33330                   0.00000                 -10.82098                   0.00000                1300.00000
         6              166666.66670                   0.00000                 -13.33732                   0.00000                1300.00000
         7              200000.00000                   0.00000                 -15.72392                   0.00000                1300.00000
         8              233333.33330                   0.00000                 -17.95085                   0.00000                1300.00000
         9              266666.66670                   0.00000                 -19.98586                   0.00000                1300.00000
        10              300000.00000                   0.00000                 -21.79357                   0.00000                1300.00000
        11              333333.33330                   0.00000                 -23.33493                   0.00000                1300.00000
        12              366666.66670                   0.00000                 -24.56561                   0.00000                1300.00000
        13              400000.00000                   0.00000                 -25.43487                   0.00000                1300.00000
        14              433333.33330                   0.00000                 -25.88050                   0.00000                1300.00000
        15              466666.66670                   0.00000                 -25.82455                   0.00000                1300.00000
        16              500000.00000                   0.00000                 -25.12186                   0.00000                1300.00000
        17              533333.33330                   0.00000                 -23.91949                   0.00000                1300.00000
        18              566666.66670                   0.00000                 -22.52563                   0.00000                1300.00000
        19              600000.00000                   0.00000                 -21.01937                   0.00000                1300.00000
        20              633333.33330                   0.00000                 -19.43419                   0.00000                1300.00000
        21              666666.66670                   0.00000                 -17.79090                   0.00000                1300.00000
        22              700000.00000                   0.00000                 -16.10321                   0.00000                1300.00000
        23              733333.33330                   0.00000                 -14.38101                   0.00000                1300.00000
        24              766666.66670                   0.00000                 -12.63169                   0.00000                1300.00000
        25              800000.00000                   0.00000                 -10.86102                   0.00000                1300.00000
        26              833333.33330                   0.00000                  -9.07359                   0.00000                1300.00000
        27              866666.66670                   0.00000                  -7.27318                   0.00000                1300.00000
        28              900000.00000                   0.00000                  -5.46297                   0.00000                1300.00000
        29              933333.33330                   0.00000                  -3.64574                   0.00000                1300.00000
        30              966666.66670                   0.00000                  -1.82398                   0.00000                1300.00000
        31             1000000.00000                   0.00000                   0.00000                   0.00000                1300.00000
        32                   0.00000               75000.00000                   0.00000                   6.18908                1300.00000
        33               33333.33330               75000.00000                  -2.72195                   6.16149                1300.00000
        34               66666.66670               75000.00000                  -5.41927                   6.07836                1300.00000
        35              100000.00000               75000.00000                  -8.06699                   5.93854                1300.00000
        36              133333.33330               75000.00000                 -10.63945                   5.74009                1300.00000
        37              166666.66670               75000.00000                 -13.10990                   5.48020                1300.00000
        38              200000.00000               75000.00000                 -15.45012                   5.15515                1300.00000
        39              233333.33330               75000.00000                 -17.62997                   4.76009                1300.00000
        40              266666.66670               75000.00000                 -19.61673                   4.28888                1300.00000
        41              300000.00000               75000.00000                 -21.37461                   3.73369                1300.00000
        42              333333.33330               75000.00000                 -22.86356                   3.08451                1300.00000
        43              366666.66670               75000.00000                 -24.03843                   2.32797                1300.00000
        44              400000.00000               75000.00000                 -24.84633                   1.44565                1300.00000
        45              433333.33330               75000.00000                 -25.22505                   0.40912                1300.00000
        46              466666.66670               75000.00000                 -25.09435                  -0.82909                1300.00000
        47              500000.00000               75000.00000                 -24.36769                  -2.38695                1300.00000
        48              533333.33330               75000.00000                 -23.22858                  -2.88137                1300.00000
        49              566666.66670               75000.00000                 -21.92284                  -3.19275                1300.00000
        50              600000.00000               75000.00000                 -20.49444                  -3.41024                1300.00000
        51              633333.33330               75000.00000                 -18.97736                  -3.56983                1300.00000
        52              666666.66670               75000.00000                 -17.39370                  -3.69079                1300.00000
        53              700000.00000               75000.00000                 -15.75912                  -3.78433                1300.00000
        54              733333.33330               75000.00000                 -14.08491                  -3.85759                1300.00000
        55              766666.66670               75000.00000                 -12.37960                  -3.91530                1300.00000
        56              800000.00000               75000.00000                 -10.64982                  -3.96073                1300.00000
        57              833333.33330               75000.00000                  -8.90084                  -3.99619                1300.00000
        58              866666.66670               75000.00000                  -7.13701                  -4.02335                1300.00000
        59              900000.00000               75000.00000                  -5.36200                  -4.04341                1300.00000
        60              933333.33330               75000.00000                  -3.57896                  -4.05719                1300.00000
        61              966666.66670               75000.00000                  -1.79075                  -4.06524                1300.00000
        62             1000000.00000               75000.00000                   0.00000                  -4.06790                1300.00000
        63                   0.00000              150000.00000                   0.00000                  12.17952                1300.00000
        64               33333.33330              150000.00000                  -2.59062                  12.12435                1300.00000
        65               66666.66670              150000.00000                  -5.15666                  11.95807                1300.00000
        66              100000.00000              150000.00000                  -7.67317                  11.67835                1300.00000
        67              133333.33330              150000.00000                 -10.11448                  11.28125                1300.00000
