 Tempo totale (Ma):   0.000015
  Elemento    Coordinata X    Coordinata Y         Hr       Cond.   Densità         Cp           alpha       Pressione  Pressione lito  Temperatura       Viscosità   Shear Heating     Ad. Heating
         1          0.0039          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
         2          0.0117          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
         3          0.0195          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
         4          0.0273          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
         5          0.0352          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
         6          0.0430          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
         7          0.0508          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
         8          0.0586          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
         9          0.0664          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        10          0.0742          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        11          0.0820          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        12          0.0898          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        13          0.0977          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        14          0.1055          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        15          0.1133          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        16          0.1211          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        17          0.1289          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        18          0.1367          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        19          0.1445          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        20          0.1523          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        21          0.1602          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        22          0.1680          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        23          0.1758          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        24          0.1836          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        25          0.1914          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        26          0.1992          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        27          0.2070          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        28          0.2148          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        29          0.2227          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        30          0.2305          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        31          0.2383          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        32          0.2461          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        33          0.2539          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        34          0.2617          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        35          0.2695          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
