 Tempo totale (Ma):   0.000015
      Nodo              Coordinata X              Coordinata Y                Velocità X                Velocità Y               Temperatura
         1                   0.00000                   0.00000                   0.00000                   0.00000                   0.99097
         2                   0.00780                   0.00000                   0.00000                   0.00000                   0.99097
         3                   0.01560                   0.00000                   0.00000                   0.00000                   0.99097
         4                   0.02340                   0.00000                   0.00000                   0.00000                   0.99097
         5                   0.03120                   0.00000                   0.00000                   0.00000                   0.99097
         6                   0.03910                   0.00000                   0.00000                   0.00000                   0.99097
         7                   0.04690                   0.00000                   0.00000                   0.00000                   0.99097
         8                   0.05470                   0.00000                   0.00000                   0.00000                   0.99097
         9                   0.06250                   0.00000                   0.00000                   0.00000                   0.99097
        10                   0.07030                   0.00000                   0.00000                   0.00000                   0.99097
        11                   0.07810                   0.00000                   0.00000                   0.00000                   0.99097
        12                   0.08590                   0.00000                   0.00000                   0.00000                   0.99097
        13                   0.09380                   0.00000                   0.00000                   0.00000                   0.99097
        14                   0.10160                   0.00000                   0.00000                   0.00000                   0.99097
        15                   0.10940                   0.00000                   0.00000                   0.00000                   0.99097
        16                   0.11720                   0.00000                   0.00000                   0.00000                   0.99097
        17                   0.12500                   0.00000                   0.00000                   0.00000                   0.99097
        18                   0.13280                   0.00000                   0.00000                   0.00000                   0.99097
        19                   0.14060                   0.00000                   0.00000                   0.00000                   0.99097
        20                   0.14840                   0.00000                   0.00000                   0.00000                   0.99097
        21                   0.15620                   0.00000                   0.00000                   0.00000                   0.99097
        22                   0.16410                   0.00000                   0.00000                   0.00000                   0.99097
        23                   0.17190                   0.00000                   0.00000                   0.00000                   0.99097
        24                   0.17970                   0.00000                   0.00000                   0.00000                   0.99097
        25                   0.18750                   0.00000                   0.00000                   0.00000                   0.99097
        26                   0.19530                   0.00000                   0.00000                   0.00000                   0.99097
        27                   0.20310                   0.00000                   0.00000                   0.00000                   0.99097
        28                   0.21090                   0.00000                   0.00000                   0.00000                   0.99097
        29                   0.21880                   0.00000                   0.00000                   0.00000                   0.99097
        30                   0.22660                   0.00000                   0.00000                   0.00000                   0.99097
        31                   0.23440                   0.00000                   0.00000                   0.00000                   0.99097
        32                   0.24220                   0.00000                   0.00000                   0.00000                   0.99097
        33                   0.25000                   0.00000                   0.00000                   0.00000                   0.99097
        34                   0.25780                   0.00000                   0.00000                   0.00000                   0.99097
        35                   0.26560                   0.00000                   0.00000                   0.00000                   0.99097
        36                   0.27340                   0.00000                   0.00000                   0.00000                   0.99097
        37                   0.28120                   0.00000                   0.00000                   0.00000                   0.99097
