 Tempo totale (Ma):   0.000000
  Elemento    Coordinata X    Coordinata Y         Hr       Cond.   Densità         Cp           alpha       Pressione  Pressione lito  Temperatura      Divergenza   Shear Heating     Ad. Heating
         1          0.0250          0.0250     0.0000     4.1500     1.0000     1.0000      0.0000          1.9250          1.9250           0.0000    -0.19500E-07     0.45125          0.0000    
         2          0.0750          0.0250     0.0000     4.1500     1.0000     1.0000      0.0000          1.8500          1.8500           0.0000    -0.18500E-07     0.45125          0.0000    
         3          0.1250          0.0250     0.0000     4.1500     1.0000     1.0000      0.0000          1.7500          1.7500           0.0000    -0.17500E-07     0.45125          0.0000    
         4          0.1750          0.0250     0.0000     4.1500     1.0000     1.0000      0.0000          1.6500          1.6500           0.0000    -0.16500E-07     0.45125          0.0000    
         5          0.2250          0.0250     0.0000     4.1500     1.0000     1.0000      0.0000          1.5500          1.5500           0.0000    -0.15500E-07     0.45125          0.0000    
         6          0.2750          0.0250     0.0000     4.1500     1.0000     1.0000      0.0000          1.4500          1.4500           0.0000    -0.14500E-07     0.45125          0.0000    
         7          0.3250          0.0250     0.0000     4.1500     1.0000     1.0000      0.0000          1.3500          1.3500           0.0000    -0.13500E-07     0.45125          0.0000    
         8          0.3750          0.0250     0.0000     4.1500     1.0000     1.0000      0.0000          1.2500          1.2500           0.0000    -0.12500E-07     0.45125          0.0000    
         9          0.4250          0.0250     0.0000     4.1500     1.0000     1.0000      0.0000          1.1500          1.1500           0.0000    -0.11500E-07     0.45125          0.0000    
        10          0.4750          0.0250     0.0000     4.1500     1.0000     1.0000      0.0000          1.0500          1.0500           0.0000    -0.10500E-07     0.45125          0.0000    
        11          0.5250          0.0250     0.0000     4.1500     1.0000     1.0000      0.0000         0.95000         0.95000           0.0000    -0.95000E-08     0.45125          0.0000    
        12          0.5750          0.0250     0.0000     4.1500     1.0000     1.0000      0.0000         0.85000         0.85000           0.0000    -0.85000E-08     0.45125          0.0000    
        13          0.6250          0.0250     0.0000     4.1500     1.0000     1.0000      0.0000         0.75000         0.75000           0.0000    -0.75000E-08     0.45125          0.0000    
