 Tempo totale (Ma):   0.000000
      Nodo              Coordinata X              Coordinata Y                Velocità X                Velocità Y               Temperatura
         1                   0.00000                   0.00000                   0.00000                   0.00000                3850.00011
         2                   0.05000                   0.00000                   0.00000                   0.00000                3775.00010
         3                   0.10000                   0.00000                   0.00000                   0.00000                3600.00008
         4                   0.15000                   0.00000                   0.00000                   0.00000                3400.00007
         5                   0.20000                   0.00000                   0.00000                   0.00000                3200.00008
         6                   0.25000                   0.00000                   0.00000                   0.00000                3000.00008
         7                   0.30000                   0.00000                   0.00000                   0.00000                2800.00007
         8                   0.35000                   0.00000                   0.00000                   0.00000                2600.00005
         9                   0.40000                   0.00000                   0.00000                   0.00000                2400.00005
        10                   0.45000                   0.00000                   0.00000                   0.00000                2200.00004
        11                   0.50000                   0.00000                   0.00000                   0.00000                2000.00003
        12                   0.55000                   0.00000                   0.00000                   0.00000                1800.00001
        13                   0.60000                   0.00000                   0.00000                   0.00000                1600.00000
        14                   0.65000                   0.00000                   0.00000                   0.00000                1399.99999
        15                   0.70000                   0.00000                   0.00000                   0.00000                1199.99999
        16                   0.75000                   0.00000                   0.00000                   0.00000                1000.00000
        17                   0.80000                   0.00000                   0.00000                   0.00000                 800.00003
        18                   0.85000                   0.00000                   0.00000                   0.00000                 600.00005
        19                   0.90000                   0.00000                   0.00000                   0.00000                 400.00007
        20                   0.95000                   0.00000                   0.00000                   0.00000                 200.00007
        21                   1.00000                   0.00000                   0.00000                   0.00000                  50.00003
        22                   1.05000                   0.00000                   0.00000                   0.00000                   0.00000
        23                   1.10000                   0.00000                   0.00000                   0.00000                   0.00000
        24                   1.15000                   0.00000                   0.00000                   0.00000                   0.00000
        25                   1.20000                   0.00000                   0.00000                   0.00000                   0.00000
        26                   1.25000                   0.00000                   0.00000                   0.00000                   0.00000
        27                   1.30000                   0.00000                   0.00000                   0.00000                   0.00000
        28                   1.35000                   0.00000                   0.00000                   0.00000                   0.00000
        29                   1.40000                   0.00000                   0.00000                   0.00000                   0.00000
        30                   1.45000                   0.00000                   0.00000                   0.00000                   0.00000
        31                   1.50000                   0.00000                   0.00000                   0.00000                   0.00000
        32                   1.55000                   0.00000                   0.00000                   0.00000                   0.00000
        33                   1.60000                   0.00000                   0.00000                   0.00000                   0.00000
        34                   1.65000                   0.00000                   0.00000                   0.00000                   0.00000
        35                   1.70000                   0.00000                   0.00000                   0.00000                   0.00000
        36                   1.75000                   0.00000                   0.00000                   0.00000                   0.00000
        37                   1.80000                   0.00000                   0.00000                   0.00000                   0.00000
        38                   1.85000                   0.00000                   0.00000                   0.00000                   0.00000
        39                   1.90000                   0.00000                   0.00000                   0.00000                   0.00000
        40                   1.95000                   0.00000                   0.00000                   0.00000                   0.00000
        41                   2.00000                   0.00000                   0.00000                   0.00000                   0.00000
        42                   0.00000                   0.05000                   0.04750                   0.00000                3850.00012
        43                   0.05000                   0.05000                   0.04750                  -0.00000                3775.00011
        44                   0.10000                   0.05000                   0.04750                  -0.00000                3600.00009
        45                   0.15000                   0.05000                   0.04750                   0.00000                3400.00007
        46                   0.20000                   0.05000                   0.04750                  -0.00000                3200.00008
        47                   0.25000                   0.05000                   0.04750                   0.00000                3000.00008
        48                   0.30000                   0.05000                   0.04750                   0.00000                2800.00008
        49                   0.35000                   0.05000                   0.04750                  -0.00000                2600.00006
        50                   0.40000                   0.05000                   0.04750                  -0.00000                2400.00005
        51                   0.45000                   0.05000                   0.04750                   0.00000                2200.00005
        52                   0.50000                   0.05000                   0.04750                  -0.00000                2000.00003
        53                   0.55000                   0.05000                   0.04750                   0.00000                1800.00001
        54                   0.60000                   0.05000                   0.04750                   0.00000                1600.00000
        55                   0.65000                   0.05000                   0.04750                   0.00000                1399.99999
