           8 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
          32 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
          50 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
         128 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
         242 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
         512 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
         968 effective RAM needed for the factorization           1 Mb
effective RAM needed for the factorization:      2Mb (sum over all MPI processes)
        2048 effective RAM needed for the factorization           1 Mb
effective RAM needed for the factorization:      2Mb (sum over all MPI processes)
        4050 effective RAM needed for the factorization           3 Mb
effective RAM needed for the factorization:      5Mb (sum over all MPI processes)
        8192 effective RAM needed for the factorization           6 Mb
effective RAM needed for the factorization:     11Mb (sum over all MPI processes)
       16200 effective RAM needed for the factorization          11 Mb
effective RAM needed for the factorization:     20Mb (sum over all MPI processes)
       32768 effective RAM needed for the factorization          22 Mb
effective RAM needed for the factorization:     39Mb (sum over all MPI processes)
       65522 effective RAM needed for the factorization          48 Mb
effective RAM needed for the factorization:     91Mb (sum over all MPI processes)
      131072 effective RAM needed for the factorization          89 Mb
effective RAM needed for the factorization:    177Mb (sum over all MPI processes)
      262088 effective RAM needed for the factorization         195 Mb
effective RAM needed for the factorization:    367Mb (sum over all MPI processes)
      524288 effective RAM needed for the factorization         416 Mb
effective RAM needed for the factorization:    737Mb (sum over all MPI processes)
     1048352 effective RAM needed for the factorization         973 Mb
effective RAM needed for the factorization:   1855Mb (sum over all MPI processes)
     2097152 effective RAM needed for the factorization        1667 Mb
effective RAM needed for the factorization:   3223Mb (sum over all MPI processes)
     4193408 effective RAM needed for the factorization        3581 Mb
effective RAM needed for the factorization:   6915Mb (sum over all MPI processes)
