           8 effective RAM needed for the solution                0 Mb
          32 effective RAM needed for the solution                0 Mb
          50 effective RAM needed for the solution                0 Mb
         128 effective RAM needed for the solution                0 Mb
         242 effective RAM needed for the solution                0 Mb
         512 effective RAM needed for the solution                0 Mb
         968 effective RAM needed for the solution                0 Mb
        2048 effective RAM needed for the solution                1 Mb
        4050 effective RAM needed for the solution                2 Mb
        8192 effective RAM needed for the solution                6 Mb
       16200 effective RAM needed for the solution               13 Mb
       32768 effective RAM needed for the solution               28 Mb
       65522 effective RAM needed for the solution               69 Mb
      131072 effective RAM needed for the solution              132 Mb
      262088 effective RAM needed for the solution              275 Mb
      524288 effective RAM needed for the solution              593 Mb
     1048352 effective RAM needed for the solution             1571 Mb
     2097152 effective RAM needed for the solution             2646 Mb
     4193408 effective RAM needed for the solution             5668 Mb
