           8 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
          32 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
          50 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
         128 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
         242 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
         512 effective RAM needed for the factorization           1 Mb
effective RAM needed for the factorization:      1Mb (sum over all MPI processes)
         968 effective RAM needed for the factorization           2 Mb
effective RAM needed for the factorization:      2Mb (sum over all MPI processes)
        2048 effective RAM needed for the factorization           4 Mb
effective RAM needed for the factorization:     11Mb (sum over all MPI processes)
        4050 effective RAM needed for the factorization           9 Mb
effective RAM needed for the factorization:     16Mb (sum over all MPI processes)
        8192 effective RAM needed for the factorization          18 Mb
effective RAM needed for the factorization:     32Mb (sum over all MPI processes)
       16200 effective RAM needed for the factorization          22 Mb
effective RAM needed for the factorization:     49Mb (sum over all MPI processes)
       32768 effective RAM needed for the factorization          27 Mb
effective RAM needed for the factorization:     81Mb (sum over all MPI processes)
       65522 effective RAM needed for the factorization          35 Mb
effective RAM needed for the factorization:    144Mb (sum over all MPI processes)
      131072 effective RAM needed for the factorization          54 Mb
effective RAM needed for the factorization:    249Mb (sum over all MPI processes)
      262088 effective RAM needed for the factorization          97 Mb
effective RAM needed for the factorization:    491Mb (sum over all MPI processes)
      524288 effective RAM needed for the factorization         181 Mb
effective RAM needed for the factorization:    980Mb (sum over all MPI processes)
