           8 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
          32 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
          50 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
         128 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
         242 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
         512 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
         968 effective RAM needed for the factorization           1 Mb
effective RAM needed for the factorization:      3Mb (sum over all MPI processes)
        2048 effective RAM needed for the factorization           2 Mb
effective RAM needed for the factorization:      4Mb (sum over all MPI processes)
        4050 effective RAM needed for the factorization           4 Mb
effective RAM needed for the factorization:      8Mb (sum over all MPI processes)
        8192 effective RAM needed for the factorization           8 Mb
effective RAM needed for the factorization:     14Mb (sum over all MPI processes)
       16200 effective RAM needed for the factorization          11 Mb
effective RAM needed for the factorization:     26Mb (sum over all MPI processes)
       32768 effective RAM needed for the factorization          20 Mb
effective RAM needed for the factorization:     48Mb (sum over all MPI processes)
       65522 effective RAM needed for the factorization          40 Mb
effective RAM needed for the factorization:    104Mb (sum over all MPI processes)
      131072 effective RAM needed for the factorization          74 Mb
effective RAM needed for the factorization:    193Mb (sum over all MPI processes)
      262088 effective RAM needed for the factorization         150 Mb
effective RAM needed for the factorization:    386Mb (sum over all MPI processes)
      524288 effective RAM needed for the factorization         313 Mb
effective RAM needed for the factorization:    789Mb (sum over all MPI processes)
     1048352 effective RAM needed for the factorization         725 Mb
effective RAM needed for the factorization:   2002Mb (sum over all MPI processes)
     2097152 effective RAM needed for the factorization        1396 Mb
effective RAM needed for the factorization:   3467Mb (sum over all MPI processes)
     4193408 effective RAM needed for the factorization        2884 Mb
effective RAM needed for the factorization:   7220Mb (sum over all MPI processes)
