           8 CPU total time       5.1050000000000054E-003 s
          32 CPU total time       1.8620000000000025E-003 s
          50 CPU total time       1.0700000000000015E-003 s
         128 CPU total time       1.2640000000000012E-003 s
         242 CPU total time       1.4920000000000072E-003 s
         512 CPU total time       2.0750000000000074E-003 s
         968 CPU total time       2.8429999999999983E-003 s
        2048 CPU total time       5.0030000000000074E-003 s
        4050 CPU total time       8.5099999999999898E-003 s
        8192 CPU total time       1.4641999999999988E-002 s
       16200 CPU total time       2.9664999999999997E-002 s
       32768 CPU total time       5.8653000000000011E-002 s
       65522 CPU total time      0.13198899999999997      s
      131072 CPU total time      0.27322100000000005      s
      262088 CPU total time      0.69738000000000011      s
      524288 CPU total time       1.4797690000000001      s
     1048352 CPU total time       3.8588500000000003      s
     2097152 CPU total time       5.9561410000000024      s
     4193408 CPU total time       13.855281000000002      s
