           8 effective RAM needed for the solution                0 Mb
          32 effective RAM needed for the solution                0 Mb
          50 effective RAM needed for the solution                0 Mb
         128 effective RAM needed for the solution                0 Mb
         242 effective RAM needed for the solution                0 Mb
         512 effective RAM needed for the solution                0 Mb
         968 effective RAM needed for the solution                0 Mb
        2048 effective RAM needed for the solution                1 Mb
        4050 effective RAM needed for the solution                2 Mb
        8192 effective RAM needed for the solution                6 Mb
       16200 effective RAM needed for the solution               13 Mb
       32768 effective RAM needed for the solution               29 Mb
       65522 effective RAM needed for the solution               61 Mb
      131072 effective RAM needed for the solution              135 Mb
      262088 effective RAM needed for the solution              283 Mb
      524288 effective RAM needed for the solution              615 Mb
     1048352 effective RAM needed for the solution             1281 Mb
     2097152 effective RAM needed for the solution             2746 Mb
     4193408 effective RAM needed for the solution             5764 Mb
