           8 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
          32 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
          50 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
         128 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
         242 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
         512 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
         968 effective RAM needed for the factorization           1 Mb
effective RAM needed for the factorization:      2Mb (sum over all MPI processes)
        2048 effective RAM needed for the factorization           1 Mb
effective RAM needed for the factorization:      2Mb (sum over all MPI processes)
        4050 effective RAM needed for the factorization           3 Mb
effective RAM needed for the factorization:      5Mb (sum over all MPI processes)
        8192 effective RAM needed for the factorization           6 Mb
effective RAM needed for the factorization:     10Mb (sum over all MPI processes)
       16200 effective RAM needed for the factorization          11 Mb
effective RAM needed for the factorization:     19Mb (sum over all MPI processes)
       32768 effective RAM needed for the factorization          21 Mb
effective RAM needed for the factorization:     39Mb (sum over all MPI processes)
       65522 effective RAM needed for the factorization          43 Mb
effective RAM needed for the factorization:     81Mb (sum over all MPI processes)
      131072 effective RAM needed for the factorization          90 Mb
effective RAM needed for the factorization:    173Mb (sum over all MPI processes)
      262088 effective RAM needed for the factorization         189 Mb
effective RAM needed for the factorization:    360Mb (sum over all MPI processes)
      524288 effective RAM needed for the factorization         399 Mb
effective RAM needed for the factorization:    766Mb (sum over all MPI processes)
     1048352 effective RAM needed for the factorization         821 Mb
effective RAM needed for the factorization:   1578Mb (sum over all MPI processes)
     2097152 effective RAM needed for the factorization        1727 Mb
effective RAM needed for the factorization:   3346Mb (sum over all MPI processes)
     4193408 effective RAM needed for the factorization        3559 Mb
effective RAM needed for the factorization:   6874Mb (sum over all MPI processes)
