           8 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
          32 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
          50 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
         128 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
         242 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
         512 effective RAM needed for the factorization           1 Mb
effective RAM needed for the factorization:      1Mb (sum over all MPI processes)
         968 effective RAM needed for the factorization           1 Mb
effective RAM needed for the factorization:      1Mb (sum over all MPI processes)
        2048 effective RAM needed for the factorization           2 Mb
effective RAM needed for the factorization:      5Mb (sum over all MPI processes)
        4050 effective RAM needed for the factorization           5 Mb
effective RAM needed for the factorization:      8Mb (sum over all MPI processes)
        8192 effective RAM needed for the factorization          10 Mb
effective RAM needed for the factorization:     19Mb (sum over all MPI processes)
       16200 effective RAM needed for the factorization          13 Mb
effective RAM needed for the factorization:     28Mb (sum over all MPI processes)
       32768 effective RAM needed for the factorization          20 Mb
effective RAM needed for the factorization:     54Mb (sum over all MPI processes)
